DATE,CUURA319SA0L1E
1982-02-01,91.200
1982-03-01,.
1982-04-01,91.900
1982-05-01,.
1982-06-01,95.500
1982-07-01,.
1982-08-01,97.600
1982-09-01,.
1982-10-01,98.900
1982-11-01,.
1982-12-01,97.900
1983-01-01,.
1983-02-01,98.000
1983-03-01,.
1983-04-01,98.400
1983-05-01,.
1983-06-01,100.000
1983-07-01,.
1983-08-01,100.900
1983-09-01,.
1983-10-01,101.200
1983-11-01,.
1983-12-01,102.500
1984-01-01,.
1984-02-01,102.700
1984-03-01,.
1984-04-01,103.600
1984-05-01,.
1984-06-01,104.600
1984-07-01,.
1984-08-01,105.300
1984-09-01,.
1984-10-01,106.800
1984-11-01,.
1984-12-01,106.800
1985-01-01,.
1985-02-01,108.700
1985-03-01,.
1985-04-01,109.300
1985-05-01,.
1985-06-01,110.200
1985-07-01,.
1985-08-01,111.700
1985-09-01,.
1985-10-01,113.000
1985-11-01,.
1985-12-01,113.400
1986-01-01,.
1986-02-01,114.600
1986-03-01,.
1986-04-01,115.900
1986-05-01,.
1986-06-01,116.500
1986-07-01,.
1986-08-01,116.800
1986-09-01,.
1986-10-01,118.200
1986-11-01,.
1986-12-01,119.300
1987-01-01,.
1987-02-01,.
1987-03-01,.
1987-04-01,.
1987-05-01,.
1987-06-01,.
1987-07-01,.
1987-08-01,.
1987-09-01,.
1987-10-01,.
1987-11-01,.
1987-12-01,.
1988-01-01,.
1988-02-01,.
1988-03-01,.
1988-04-01,.
1988-05-01,.
1988-06-01,.
1988-07-01,.
1988-08-01,.
1988-09-01,.
1988-10-01,.
1988-11-01,.
1988-12-01,.
1989-01-01,.
1989-02-01,.
1989-03-01,.
1989-04-01,.
1989-05-01,.
1989-06-01,.
1989-07-01,.
1989-08-01,.
1989-09-01,.
1989-10-01,.
1989-11-01,.
1989-12-01,.
1990-01-01,.
1990-02-01,.
1990-03-01,.
1990-04-01,.
1990-05-01,.
1990-06-01,.
1990-07-01,.
1990-08-01,.
1990-09-01,.
1990-10-01,.
1990-11-01,.
1990-12-01,.
1991-01-01,.
1991-02-01,.
1991-03-01,.
1991-04-01,.
1991-05-01,.
1991-06-01,.
1991-07-01,.
1991-08-01,.
1991-09-01,.
1991-10-01,.
1991-11-01,.
1991-12-01,.
1992-01-01,.
1992-02-01,.
1992-03-01,.
1992-04-01,.
1992-05-01,.
1992-06-01,.
1992-07-01,.
1992-08-01,.
1992-09-01,.
1992-10-01,.
1992-11-01,.
1992-12-01,.
1993-01-01,.
1993-02-01,.
1993-03-01,.
1993-04-01,.
1993-05-01,.
1993-06-01,.
1993-07-01,.
1993-08-01,.
1993-09-01,.
1993-10-01,.
1993-11-01,.
1993-12-01,.
1994-01-01,.
1994-02-01,.
1994-03-01,.
1994-04-01,.
1994-05-01,.
1994-06-01,.
1994-07-01,.
1994-08-01,.
1994-09-01,.
1994-10-01,.
1994-11-01,.
1994-12-01,.
1995-01-01,.
1995-02-01,.
1995-03-01,.
1995-04-01,.
1995-05-01,.
1995-06-01,.
1995-07-01,.
1995-08-01,.
1995-09-01,.
1995-10-01,.
1995-11-01,.
1995-12-01,.
1996-01-01,.
1996-02-01,.
1996-03-01,.
1996-04-01,.
1996-05-01,.
1996-06-01,.
1996-07-01,.
1996-08-01,.
1996-09-01,.
1996-10-01,.
1996-11-01,.
1996-12-01,.
1997-01-01,.
1997-02-01,.
1997-03-01,.
1997-04-01,.
1997-05-01,.
1997-06-01,.
1997-07-01,.
1997-08-01,.
1997-09-01,.
1997-10-01,.
1997-11-01,.
1997-12-01,168.400
1998-01-01,.
1998-02-01,168.900
1998-03-01,.
1998-04-01,170.400
1998-05-01,.
1998-06-01,170.000
1998-07-01,.
1998-08-01,169.800
1998-09-01,.
1998-10-01,171.300
1998-11-01,.
1998-12-01,170.700
1999-01-01,.
1999-02-01,171.700
1999-03-01,.
1999-04-01,173.500
1999-05-01,.
1999-06-01,173.600
1999-07-01,.
1999-08-01,174.200
1999-09-01,.
1999-10-01,175.200
1999-11-01,.
1999-12-01,175.400
2000-01-01,.
2000-02-01,175.700
2000-03-01,.
2000-04-01,177.700
2000-05-01,.
2000-06-01,177.600
2000-07-01,.
2000-08-01,178.400
2000-09-01,.
2000-10-01,178.800
2000-11-01,.
2000-12-01,179.000
2001-01-01,.
2001-02-01,181.500
2001-03-01,.
2001-04-01,183.000
2001-05-01,.
2001-06-01,182.900
2001-07-01,.
2001-08-01,183.400
2001-09-01,.
2001-10-01,183.900
2001-11-01,.
2001-12-01,183.200
2002-01-01,.
2002-02-01,184.900
2002-03-01,.
2002-04-01,186.900
2002-05-01,.
2002-06-01,186.200
2002-07-01,.
2002-08-01,186.700
2002-09-01,.
2002-10-01,187.900
2002-11-01,.
2002-12-01,185.500
2003-01-01,.
2003-02-01,187.200
2003-03-01,.
2003-04-01,188.100
2003-05-01,.
2003-06-01,187.000
2003-07-01,.
2003-08-01,186.600
2003-09-01,.
2003-10-01,186.600
2003-11-01,.
2003-12-01,184.400
2004-01-01,.
2004-02-01,185.100
2004-03-01,.
2004-04-01,186.200
2004-05-01,.
2004-06-01,186.600
2004-07-01,.
2004-08-01,185.500
2004-09-01,.
2004-10-01,186.800
2004-11-01,.
2004-12-01,185.300
2005-01-01,.
2005-02-01,188.000
2005-03-01,.
2005-04-01,189.100
2005-05-01,.
2005-06-01,189.500
2005-07-01,.
2005-08-01,187.000
2005-09-01,.
2005-10-01,188.300
2005-11-01,.
2005-12-01,188.000
2006-01-01,.
2006-02-01,188.400
2006-03-01,.
2006-04-01,192.500
2006-05-01,.
2006-06-01,192.500
2006-07-01,.
2006-08-01,192.600
2006-09-01,.
2006-10-01,193.900
2006-11-01,.
2006-12-01,194.500
2007-01-01,.
2007-02-01,195.532
2007-03-01,.
2007-04-01,197.126
2007-05-01,.
2007-06-01,197.409
2007-07-01,.
2007-08-01,197.553
2007-09-01,.
2007-10-01,200.260
2007-11-01,.
2007-12-01,199.720
2008-01-01,.
2008-02-01,200.008
2008-03-01,.
2008-04-01,199.924
2008-05-01,.
2008-06-01,200.075
2008-07-01,.
2008-08-01,201.047
2008-09-01,.
2008-10-01,199.654
2008-11-01,.
2008-12-01,196.108
2009-01-01,.
2009-02-01,197.944
2009-03-01,.
2009-04-01,198.668
2009-05-01,.
2009-06-01,199.576
2009-07-01,.
2009-08-01,199.232
2009-09-01,.
2009-10-01,198.559
2009-11-01,.
2009-12-01,197.178
2010-01-01,.
2010-02-01,199.043
2010-03-01,.
2010-04-01,199.337
2010-05-01,.
2010-06-01,198.998
2010-07-01,.
2010-08-01,198.507
2010-09-01,.
2010-10-01,198.065
2010-11-01,.
2010-12-01,196.631
2011-01-01,.
2011-02-01,198.205
2011-03-01,.
2011-04-01,199.020
2011-05-01,.
2011-06-01,198.845
2011-07-01,.
2011-08-01,199.620
2011-09-01,.
2011-10-01,199.995
2011-11-01,.
2011-12-01,200.015
2012-01-01,.
2012-02-01,200.829
2012-03-01,.
2012-04-01,202.210
2012-05-01,.
2012-06-01,204.156
2012-07-01,.
2012-08-01,203.779
2012-09-01,.
2012-10-01,203.345
2012-11-01,.
2012-12-01,202.807
2013-01-01,.
2013-02-01,205.264
2013-03-01,.
2013-04-01,206.517
2013-05-01,.
2013-06-01,206.049
2013-07-01,.
2013-08-01,207.839
2013-09-01,.
2013-10-01,208.170
2013-11-01,.
2013-12-01,208.440
2014-01-01,.
2014-02-01,210.665
2014-03-01,.
2014-04-01,211.542
2014-05-01,.
2014-06-01,212.329
2014-07-01,.
2014-08-01,213.184
2014-09-01,.
2014-10-01,213.521
2014-11-01,.
2014-12-01,212.996
2015-01-01,.
2015-02-01,214.374
2015-03-01,.
2015-04-01,215.577
2015-05-01,.
2015-06-01,217.050
2015-07-01,.
2015-08-01,218.410
2015-09-01,.
2015-10-01,219.590
2015-11-01,.
2015-12-01,219.384
2016-01-01,.
2016-02-01,221.630
2016-03-01,.
2016-04-01,222.453
2016-05-01,.
2016-06-01,223.076
2016-07-01,.
2016-08-01,225.180
2016-09-01,.
2016-10-01,226.391
2016-11-01,.
2016-12-01,225.831
2017-01-01,.
2017-02-01,229.298
2017-03-01,.
2017-04-01,230.381
2017-05-01,.
2017-06-01,231.596
2017-07-01,.
2017-08-01,233.758
2017-09-01,.
2017-10-01,233.846
2017-11-01,.
2017-12-01,234.078
2018-01-01,.
2018-02-01,236.588
2018-03-01,.
2018-04-01,236.004
2018-05-01,.
2018-06-01,236.458
2018-07-01,.
2018-08-01,236.964
2018-09-01,.
2018-10-01,237.613
