DATE,CUUSA424SA0L1E
1984-01-01,105.400
1985-01-01,112.700
1986-01-01,117.900
1987-01-01,122.400
1988-01-01,129.400
1989-01-01,136.900
1990-01-01,145.300
1991-01-01,151.200
1992-01-01,155.300
1993-01-01,158.700
1994-01-01,163.000
1995-01-01,165.200
1996-01-01,169.500
1997-01-01,172.300
1998-01-01,177.000
1999-01-01,183.900
2000-01-01,193.700
2001-01-01,202.200
2002-01-01,210.800
2003-01-01,217.600
2004-01-01,225.100
2005-01-01,232.000
2006-01-01,238.800
2007-01-01,242.896
2008-01-01,250.443
2009-01-01,253.363
2010-01-01,255.592
2011-01-01,259.451
2012-01-01,263.901
2013-01-01,267.538
2014-01-01,272.495
2015-01-01,279.341
2016-01-01,287.779
2017-01-01,296.246
